Проект,,,
Дата,,,
Тестировщик,,,
Предусловие: открыт сайт https://www.youtube.com,,,
"Окружение: Google Chrome Версия 116.0.5845.141 (Официальная сборка), (64 бит)",,,
Вид тестирования: smoke-тестирование,,,
№ проверки,Модуль ,Название проверки,Результат прохождения
Check-001,Запуск видео,При выборе (щелчке мышы) любого видео на любой странице данного ресурса начинается его воспроизведение,Passed
Check-002,,"При нажатии на значок пауза, видео приостаноавливается",Passed
Check-003,,"При нажатии на значок воспроизведение, видео начинает восроизводиться с момента его остановки",Passed
Check-004,,"Нажатие на значок воспроизведение, видео начинает восроизводиться с момента его остановки",Passed
Check-005,,"При нажатии на кнопку ""воспроизвести с начала"", видео воспроизводиться с начала записи",Passed
Check-006,,"При щелчке в любом месте по временной шкале воспроизведения видео, начинается воспроизведение с указанной точки ",Passed
Check-007,,"При перемещении ползунка по временной шкале воспроизведения видео, начинается воспроизведение с момента остановки ползунка",Passed
Check-008,,Чек-бокс на панели плеера включант/выключает автовоспроизведение следующего видео,Passed
Check-009,,"Щелчок мыши на экрена с видео приводит к паузе, повторный щелчок к воспроизведению",Passed
Check-010,,"При нажатии на кнопку ""Минипроигрыватель"", на панели плеера, окно с видео сжимается и перемещается в нижний правый угол",Passed
Check-011,,"При нажатии на кнопку ""Широкий экран"", на панели плеера, окно с видео расширяется, оставляя меню плеера и название видео",Passed
Check-012,,"При нажатии на кнопку ""Во весь экран"", на панели плеера, окно с видео открывается на весь экран",Passed
Check-014,,Кнопка информации в верхнем правом углу приводит к информации о воспроизведенном видео,Passed
Check-014,Дополнительные настройки,"При нажатии на значок ""Настройки"" в панели плеера, открывается окно с настройками",Passed
Check-014,,"При нажатии на кнопку ""Суббтитры"" в панели плеера, они начинают воспроизводиться паралельно видео",Passed
Check-014,,Регулируется скорость воспроизведения видео,Passed
Check-014,,Регулируется качество видео,Passed
Check-014,Звук видео,"При нажатии на значок ""Настроить громкость"" звук выключается/включается",Passed
Check-014,,"При перемещении ползунка на значке ""Настроить громкость"" уровень звука меняется",Passed
Check-014,Время видео,При перемещении курсора на временную строку воспроизведения видео отображается время с начала воспроиведения,Passed
Check-014,,При перемещении курсора по временной строке воспроизведения видео отображается время нахождения курсора на этой строке,Passed